target_id	name	fam	tdl	idg2	protein_id	sym	family	geneid	uniprot	up_version	stringid	chr	description	dtoid
25	SH3 domain-binding protein 1	None	Tbio	0	25	SH3BP1	None	23616	Q9Y3L3	3	ENSP00000350018	22q13.1	SH3 domain-binding protein 1	None
26	5-hydroxytryptamine receptor 2B	GPCR	Tclin	0	26	HTR2B	Belongs to the G-protein coupled receptor 1 family.	3357	P41595	1	ENSP00000258400	2q37.1	5-hydroxytryptamine receptor 2B	DTO_02100007
27	5-hydroxytryptamine receptor 2C	GPCR	Tclin	0	27	HTR2C	Belongs to the G-protein coupled receptor 1 family.	3358	P28335	1	ENSP00000276198	Xq23	5-hydroxytryptamine receptor 2C	DTO_02100008
28	Cytosolic 5'-nucleotidase 1B	Enzyme	Tbio	0	28	NT5C1B	Belongs to the 5'-nucleotidase type 3 family.	93034	Q96P26	2	ENSP00000352904	2p24.2	Cytosolic 5'-nucleotidase 1B	None
29	Cytosolic 5'-nucleotidase 3A	Enzyme	Tbio	0	29	NT5C3A	Belongs to the pyrimidine 5'-nucleotidase family.	51251	Q9H0P0	3	ENSP00000242210	7p14.3	Cytosolic 5'-nucleotidase 3A	None
30	5'-nucleotidase	Enzyme	Tchem	0	30	NT5E	Belongs to the 5'-nucleotidase family.	4907	P21589	1	ENSP00000257770	6q14.3	5'-nucleotidase	None
31	6-phosphogluconate dehydrogenase, decarboxylating	Enzyme	Tchem	0	31	PGD	Belongs to the 6-phosphogluconate dehydrogenase family.	5226	P52209	3	ENSP00000270776	1p36.22	6-phosphogluconate dehydrogenase, decarboxylating	None
32	6-phosphogluconolactonase	Enzyme	Tbio	0	32	PGLS	Belongs to the glucosamine/galactosamine-6-phosphate isomerase family. 6-phosphogluconolactonase subfamily.	25796	O95336	2	ENSP00000252603	19p13.2	6-phosphogluconolactonase	None
33	Putative alpha-1-antitrypsin-related protein	None	Tdark	0	33	SERPINA2	Belongs to the serpin family.	390502	P20848	1	None	14q32.13	Putative alpha-1-antitrypsin-related protein	None
34	Ankyrin repeat domain-containing protein 20A4	None	Tdark	0	34	ANKRD20A4	None	728747	Q4UJ75	1	ENSP00000349891	9q13	Ankyrin repeat domain-containing protein 20A4	None
35	Uncharacterized protein ADAMTSL4-AS1	None	Tdark	0	35	ADAMTSL4-AS1	None	574406	Q5T5F5	1	ENSP00000358031	1q21.2	Uncharacterized protein ADAMTSL4-AS1	None
36	Amyloid-beta A4 protein	None	Tchem	0	36	APP	Belongs to the APP family.	351	P05067	3	ENSP00000284981	21q21.3	Amyloid-beta A4 protein	None
37	Adenosine receptor A1	GPCR	Tclin	0	37	ADORA1	Belongs to the G-protein coupled receptor 1 family.	134	P30542	1	ENSP00000308549	1q32.1	Adenosine receptor A1	DTO_02100013
38	Adenosine receptor A2b	GPCR	Tclin	0	38	ADORA2B	Belongs to the G-protein coupled receptor 1 family.	136	P29275	1	ENSP00000304501	17p12	Adenosine receptor A2b	DTO_02100015
39	Adenosine receptor A3	GPCR	Tchem	0	39	ADORA3	Belongs to the G-protein coupled receptor 1 family.	140	P0DMS8	1	ENSP00000358730	1p13.2	Adenosine receptor A3	DTO_02100016
40	Neuronal acetylcholine receptor subunit beta-3	IC	Tchem	0	40	CHRNB3	Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-3/CHRNB3 sub-subfamily.	1142	Q05901	2	ENSP00000289957	8p11.21	Neuronal acetylcholine receptor subunit beta-3	DTO_01100016
41	Actin-like protein 7B	None	Tbio	0	41	ACTL7B	Belongs to the actin family.	10880	Q9Y614	1	ENSP00000363799	9q31.3	Actin-like protein 7B	None
42	Muscarinic acetylcholine receptor M1	GPCR	Tclin	0	42	CHRM1	Belongs to the G-protein coupled receptor 1 family. Muscarinic acetylcholine receptor subfamily. CHRM1 sub-subfamily.	1128	P11229	2	ENSP00000306490	11q12.3	Muscarinic acetylcholine receptor M1	DTO_02100021
43	Acid phosphatase type 7	Enzyme	Tdark	0	43	ACP7	Belongs to the metallophosphoesterase superfamily. Purple acid phosphatase family.	390928	Q6ZNF0	2	ENSP00000327557	19q13.2	Acid phosphatase type 7	None
44	Acidic repeat-containing protein	None	Tbio	0	44	GCNA	Belongs to the serine-aspartate repeat-containing protein (SDr) family.	93953	Q96QF7	1	ENSP00000362799	Xq13.1	Acidic repeat-containing protein	None
45	Acyl-coenzyme A synthetase ACSM2A, mitochondrial	Enzyme	Tbio	0	45	ACSM2A	Belongs to the ATP-dependent AMP-binding enzyme family.	123876	Q08AH3	2	ENSP00000219054	16p12.3	Acyl-coenzyme A synthetase ACSM2A, mitochondrial	None
46	Acetyl-coenzyme A synthetase 2-like, mitochondrial	Enzyme	Tbio	0	46	ACSS1	Belongs to the ATP-dependent AMP-binding enzyme family.	84532	Q9NUB1	2	ENSP00000316924	20p11.21	Acetyl-coenzyme A synthetase 2-like, mitochondrial	None
47	Acyl-CoA synthetase family member 3, mitochondrial	Enzyme	Tbio	0	47	ACSF3	Belongs to the ATP-dependent AMP-binding enzyme family.	197322	Q4G176	3	ENSP00000320646	16q24.3	Acyl-CoA synthetase family member 3, mitochondrial	None
48	Long-chain-fatty-acid--CoA ligase 5	Enzyme	Tbio	0	48	ACSL5	Belongs to the ATP-dependent AMP-binding enzyme family.	51703	Q9ULC5	1	ENSP00000348429	10q25.2	Long-chain-fatty-acid--CoA ligase 5	None
49	Acyl-coenzyme A synthetase ACSM1, mitochondrial	Enzyme	Tbio	0	49	ACSM1	Belongs to the ATP-dependent AMP-binding enzyme family.	116285	Q08AH1	1	ENSP00000301956	16p12.3	Acyl-coenzyme A synthetase ACSM1, mitochondrial	None
50	Acyl-coenzyme A synthetase ACSM3, mitochondrial	Enzyme	Tbio	0	50	ACSM3	Belongs to the ATP-dependent AMP-binding enzyme family.	6296	Q53FZ2	2	ENSP00000289416	16p12.3	Acyl-coenzyme A synthetase ACSM3, mitochondrial	None
51	Beta-actin-like protein 2	None	Tbio	0	51	ACTBL2	Belongs to the actin family.	345651	Q562R1	2	ENSP00000416706	5q11.2	Beta-actin-like protein 2	None
52	Putative beta-actin-like protein 3	None	Tdark	0	52	POTEKP	Belongs to the actin family.	440915	Q9BYX7	1	ENSP00000392718	2q21.1	Putative beta-actin-like protein 3	None
53	Actin-like protein 8	None	Tdark	0	53	ACTL8	Belongs to the actin family.	81569	Q9H568	1	ENSP00000364555	1p36.13	Actin-like protein 8	None
54	Alpha-actinin-1	None	Tbio	0	54	ACTN1	Belongs to the alpha-actinin family.	87	P12814	2	ENSP00000377941	14q24.1	Alpha-actinin-1	None
55	Alpha-actinin-2	None	Tbio	0	55	ACTN2	Belongs to the alpha-actinin family.	88	P35609	1	ENSP00000355537	1q43	Alpha-actinin-2	None
56	Activin receptor type-1	Kinase	Tchem	0	56	ACVR1	Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily.	90	Q04771	1	ENSP00000263640	2q24.1	Activin receptor type-1	DTO_03100012
57	Aminoacylase-1	Enzyme	Tbio	0	57	ACY1	Belongs to the peptidase M20A family.	95	Q03154	1	ENSP00000384296	3p21.2	Aminoacylase-1	None
58	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)	Enzyme	Tbio	0	58	ACY3	Belongs to the AspA/AstE family. Aspartoacylase subfamily.	91703	Q96HD9	1	ENSP00000255082	11q13.2	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)	None
59	Disintegrin and metalloproteinase domain-containing protein 10	Enzyme	Tchem	0	59	ADAM10	None	102	O14672	1	ENSP00000260408	15q21.3	Disintegrin and metalloproteinase domain-containing protein 10	None
60	Disintegrin and metalloproteinase domain-containing protein 11	Enzyme	Tbio	0	60	ADAM11	None	4185	O75078	3	ENSP00000200557	17q21.31	Disintegrin and metalloproteinase domain-containing protein 11	None
61	Disintegrin and metalloproteinase domain-containing protein 17	Enzyme	Tchem	0	61	ADAM17	None	6868	P78536	1	ENSP00000309968	2p25.1	Disintegrin and metalloproteinase domain-containing protein 17	None
62	Disintegrin and metalloproteinase domain-containing protein 19	Enzyme	Tbio	0	62	ADAM19	None	8728	Q9H013	3	ENSP00000257527	5q33.3	Disintegrin and metalloproteinase domain-containing protein 19	None
63	Alpha-1D adrenergic receptor	GPCR	Tclin	0	63	ADRA1D	Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRA1D sub-subfamily.	146	P25100	2	ENSP00000368766	20p13	Alpha-1D adrenergic receptor	DTO_02100029
64	Disintegrin and metalloproteinase domain-containing protein 20	Enzyme	Tdark	0	64	ADAM20	None	8748	O43506	2	ENSP00000256389	14q24.2	Disintegrin and metalloproteinase domain-containing protein 20	None
65	Disintegrin and metalloproteinase domain-containing protein 21	Enzyme	Tdark	0	65	ADAM21	None	8747	Q9UKJ8	2	ENSP00000267499	14q24.2	Disintegrin and metalloproteinase domain-containing protein 21	None
66	Disintegrin and metalloproteinase domain-containing protein 29	Enzyme	Tbio	0	66	ADAM29	None	11086	Q9UKF5	3	ENSP00000352177	4q34.1	Disintegrin and metalloproteinase domain-containing protein 29	None
67	Alpha-2A adrenergic receptor	GPCR	Tclin	0	67	ADRA2A	Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRA2A sub-subfamily.	150	P08913	3	ENSP00000280155	10q25.2	Alpha-2A adrenergic receptor	DTO_02100030
68	tRNA-specific adenosine deaminase 2	Enzyme	Tbio	0	68	ADAT2	Belongs to the cytidine and deoxycytidylate deaminase family. ADAT2 subfamily.	134637	Q7Z6V5	1	ENSP00000237283	6q24.2	tRNA-specific adenosine deaminase 2	None
69	Probable inactive tRNA-specific adenosine deaminase-like protein 3	Enzyme	Tdark	0	69	ADAT3	Belongs to the cytidine and deoxycytidylate deaminase family. ADAT3 subfamily.	113179	Q96EY9	1	ENSP00000332448	19p13.3	Probable inactive tRNA-specific adenosine deaminase-like protein 3	None
70	Adenosine deaminase	Enzyme	Tclin	0	70	ADA	Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family.	100	P00813	3	ENSP00000361965	20q13.12	Adenosine deaminase	None
71	Uncharacterized aarF domain-containing protein kinase 2	Kinase	Tbio	1	71	ADCK2	Belongs to the protein kinase superfamily. ADCK protein kinase family.	90956	Q7Z695	1	ENSP00000072869	7q34	Uncharacterized aarF domain-containing protein kinase 2	DTO_03100014
72	Uncharacterized aarF domain-containing protein kinase 5	Kinase	Tdark	1	72	ADCK5	Belongs to the protein kinase superfamily. ADCK protein kinase family.	203054	Q3MIX3	2	ENSP00000310547	8q24.3	Uncharacterized aarF domain-containing protein kinase 5	DTO_03100017
73	Arylacetamide deacetylase-like 3	Enzyme	Tdark	0	73	AADACL3	Belongs to the 'GDXG' lipolytic enzyme family.	126767	Q5VUY0	4	ENSP00000352268	1p36.21	Arylacetamide deacetylase-like 3	None
74	Adenylate cyclase type 5	Enzyme	Tchem	0	74	ADCY5	Belongs to the adenylyl cyclase class-4/guanylyl cyclase family.	111	O95622	3	ENSP00000419361	3q21.1	Adenylate cyclase type 5	None
75	Alcohol dehydrogenase 6	Enzyme	Tbio	0	75	ADH6	Belongs to the zinc-containing alcohol dehydrogenase family. Class-V subfamily.	130	P28332	2	ENSP00000378359	4q23	Alcohol dehydrogenase 6	None
76	Adipogenesis regulatory factor	None	Tbio	0	76	ADIRF	None	10974	Q15847	1	ENSP00000361083	10q23.2	Adipogenesis regulatory factor	None
77	Adenosine kinase	Kinase	Tchem	0	77	ADK	Belongs to the carbohydrate kinase PfkB family.	132	P55263	2	ENSP00000286621	10q22.2	Adenosine kinase	DTO_03100018
78	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase	Enzyme	Tdark	0	78	ADPRM	Belongs to the ADPRibase-Mn family.	56985	Q3LIE5	1	ENSP00000369099	17p13.1	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase	None
79	Beta-2 adrenergic receptor	GPCR	Tclin	0	79	ADRB2	Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRB2 sub-subfamily.	154	P07550	3	ENSP00000305372	5q32	Beta-2 adrenergic receptor	DTO_02100034
80	Adrenodoxin, mitochondrial	None	Tbio	0	80	FDX1	Belongs to the adrenodoxin/putidaredoxin family.	2230	P10109	1	ENSP00000260270	11q22.3	Adrenodoxin, mitochondrial	None
81	Adipocyte enhancer-binding protein 1	None	Tbio	0	81	AEBP1	Belongs to the peptidase M14 family.	165	Q8IUX7	1	ENSP00000223357	7p13	Adipocyte enhancer-binding protein 1	None
82	Apoptosis-enhancing nuclease	Enzyme	Tbio	0	82	AEN	None	64782	Q8WTP8	2	ENSP00000331944	15q26.1	Apoptosis-enhancing nuclease	None
83	Afadin	None	Tbio	0	83	AFDN	None	4301	P55196	3	ENSP00000375956	6q27	Afadin	None
84	Putative uncharacterized protein encoded by AGPAT4-IT1	None	Tdark	0	84	AGPAT4-IT1	None	79992	Q9H0P7	1	None	6q26	Putative uncharacterized protein encoded by AGPAT4-IT1	None
85	Protein argonaute-1	None	Tbio	0	85	AGO1	Belongs to the argonaute family. Ago subfamily.	26523	Q9UL18	3	ENSP00000362300	1p34.3	Protein argonaute-1	None
86	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 14	None	Tdark	0	86	AGAP14P	Belongs to the centaurin gamma-like family.	653259	A8MT82	3	ENSP00000363208	10q11.22	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 14	None
87	14-3-3 protein beta/alpha	None	Tchem	0	87	YWHAB	Belongs to the 14-3-3 family.	7529	P31946	3	ENSP00000300161	20q13.12	14-3-3 protein beta/alpha	None
88	HLA class I histocompatibility antigen, B-57 alpha chain	None	Tbio	0	88	HLA-B	Belongs to the MHC class I family.	3106	P18465	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-57 alpha chain	None
89	HLA class I histocompatibility antigen, B-67 alpha chain	None	Tbio	0	89	HLA-B	Belongs to the MHC class I family.	3106	Q29836	1	ENSP00000399168	6p21.33	HLA class I histocompatibility antigen, B-67 alpha chain	None
90	HLA class I histocompatibility antigen, Cw-2 alpha chain	None	Tbio	0	90	HLA-C	Belongs to the MHC class I family.	3107	P30501	1	ENSP00000365402	6p21.33	HLA class I histocompatibility antigen, Cw-2 alpha chain	None
91	HLA class I histocompatibility antigen, Cw-3 alpha chain	None	Tbio	0	91	HLA-C	Belongs to the MHC class I family.	3107	P04222	2	ENSP00000365402	6p21.33	HLA class I histocompatibility antigen, Cw-3 alpha chain	None
92	HLA class I histocompatibility antigen, Cw-4 alpha chain	None	Tbio	0	92	HLA-C	Belongs to the MHC class I family.	3107	P30504	1	ENSP00000365402	6p21.33	HLA class I histocompatibility antigen, Cw-4 alpha chain	None
93	HLA class I histocompatibility antigen, Cw-5 alpha chain	None	Tbio	0	93	HLA-C	Belongs to the MHC class I family.	3107	Q9TNN7	1	ENSP00000365402	6p21.33	HLA class I histocompatibility antigen, Cw-5 alpha chain	None
94	HLA class I histocompatibility antigen, Cw-6 alpha chain	None	Tbio	0	94	HLA-C	Belongs to the MHC class I family.	3107	Q29963	2	ENSP00000365402	6p21.33	HLA class I histocompatibility antigen, Cw-6 alpha chain	None
95	HLA class I histocompatibility antigen, Cw-7 alpha chain	None	Tbio	0	95	HLA-C	Belongs to the MHC class I family.	3107	P10321	3	ENSP00000365402	6p21.33	HLA class I histocompatibility antigen, Cw-7 alpha chain	None
96	HLA class I histocompatibility antigen, Cw-15 alpha chain	None	Tbio	0	96	HLA-C	Belongs to the MHC class I family.	3107	Q07000	1	ENSP00000365402	6p21.33	HLA class I histocompatibility antigen, Cw-15 alpha chain	None
97	HLA class I histocompatibility antigen, Cw-18 alpha chain	None	Tbio	0	97	HLA-C	Belongs to the MHC class I family.	3107	Q29865	1	ENSP00000365402	6p21.33	HLA class I histocompatibility antigen, Cw-18 alpha chain	None
98	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform	Enzyme	Tbio	0	98	PPP2R2B	Belongs to the phosphatase 2A regulatory subunit B family.	5521	Q00005	1	ENSP00000336591	5q32	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform	None
99	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	Enzyme	Tbio	0	99	PPP2R2D	Belongs to the phosphatase 2A regulatory subunit B family.	55844	Q66LE6	1	ENSP00000399970	10q26.3	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	None
100	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform	Enzyme	Tbio	0	100	PPP2R2C	Belongs to the phosphatase 2A regulatory subunit B family.	5522	Q9Y2T4	4	ENSP00000335083	4p16.1	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform	None
101	HLA class II histocompatibility antigen, DRB1-7 beta chain	None	Tbio	0	101	HLA-DRB1	Belongs to the MHC class II family.	3123	P13761	1	None	6p21.32	HLA class II histocompatibility antigen, DRB1-7 beta chain	None
102	HLA class II histocompatibility antigen, DRB1-16 beta chain	None	Tbio	0	102	HLA-DRB1	Belongs to the MHC class II family.	3123	Q29974	1	ENSP00000353099	6p21.32	HLA class II histocompatibility antigen, DRB1-16 beta chain	None
103	5-hydroxytryptamine receptor 1D	GPCR	Tclin	0	103	HTR1D	Belongs to the G-protein coupled receptor 1 family.	3352	P28221	1	ENSP00000313661	1p36.12	5-hydroxytryptamine receptor 1D	DTO_02100003
104	5-hydroxytryptamine receptor 2A	GPCR	Tclin	0	104	HTR2A	Belongs to the G-protein coupled receptor 1 family.	3356	P28223	2	ENSP00000367959	13q14.2	5-hydroxytryptamine receptor 2A	DTO_02100006
105	5-hydroxytryptamine receptor 3A	IC	Tclin	0	105	HTR3A	Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3A sub-subfamily.	3359	P46098	1	ENSP00000347754	11q23.2	5-hydroxytryptamine receptor 3A	DTO_01100001
106	5-hydroxytryptamine receptor 3B	IC	Tchem	2	106	HTR3B	Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3B sub-subfamily.	9177	O95264	1	ENSP00000260191	11q23.2	5-hydroxytryptamine receptor 3B	DTO_01100002
107	5-hydroxytryptamine receptor 3C	IC	Tchem	0	107	HTR3C	Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3C sub-subfamily.	170572	Q8WXA8	2	ENSP00000322617	3q27.1	5-hydroxytryptamine receptor 3C	DTO_01100003
108	5-hydroxytryptamine receptor 3D	IC	Tchem	0	108	HTR3D	Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3D sub-subfamily.	200909	Q70Z44	3	ENSP00000371929	3q27.1	5-hydroxytryptamine receptor 3D	DTO_01100004
109	5-hydroxytryptamine receptor 3E	IC	Tchem	0	109	HTR3E	Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3E sub-subfamily.	285242	A5X5Y0	1	ENSP00000335511	3q27.1	5-hydroxytryptamine receptor 3E	DTO_01100005
110	5-hydroxytryptamine receptor 5A	GPCR	Tchem	1	110	HTR5A	Belongs to the G-protein coupled receptor 1 family.	3361	P47898	1	ENSP00000287907	7q36.2	5-hydroxytryptamine receptor 5A	DTO_02100010
111	5-hydroxytryptamine receptor 7	GPCR	Tclin	0	111	HTR7	Belongs to the G-protein coupled receptor 1 family.	3363	P34969	2	ENSP00000337949	10q23.31	5-hydroxytryptamine receptor 7	DTO_02100012
112	Cytosolic purine 5'-nucleotidase	Enzyme	Tbio	0	112	NT5C2	Belongs to the 5'(3')-deoxyribonucleotidase family.	22978	P49902	1	ENSP00000339479	10q24.32-q24.33	Cytosolic purine 5'-nucleotidase	None
113	6.8 kDa mitochondrial proteolipid	None	Tbio	0	113	ATP5MPL	Belongs to the small mitochondrial proteolipid family.	9556	P56378	1	ENSP00000401770	14q32.33	6.8 kDa mitochondrial proteolipid	None
114	Neuroendocrine protein 7B2	None	Tbio	0	114	SCG5	Belongs to the 7B2 family.	6447	P05408	2	ENSP00000300175	15q13.3	Neuroendocrine protein 7B2	None
115	5'-AMP-activated protein kinase subunit gamma-3	Enzyme	Tbio	0	115	PRKAG3	Belongs to the 5'-AMP-activated protein kinase gamma subunit family.	53632	Q9UGI9	3	ENSP00000233944	2q35	5'-AMP-activated protein kinase subunit gamma-3	None
116	Aspartate aminotransferase, cytoplasmic	Enzyme	Tbio	0	116	GOT1	Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family.	2805	P17174	3	ENSP00000359539	10q24.2	Aspartate aminotransferase, cytoplasmic	None
117	Protein AATF	None	Tbio	0	117	AATF	Belongs to the AATF family.	26574	Q9NY61	1	ENSP00000225402	17q12	Protein AATF	None
118	Protein ABHD17B	Enzyme	Tbio	0	118	ABHD17B	Belongs to the AB hydrolase superfamily. ABHD17 family.	51104	Q5VST6	1	ENSP00000366240	9q21.13	Protein ABHD17B	None
119	Protein ABHD17C	Enzyme	Tbio	0	119	ABHD17C	Belongs to the AB hydrolase superfamily. ABHD17 family.	58489	Q6PCB6	2	ENSP00000258884	15q25.1	Protein ABHD17C	None
120	DNA dC->dU-editing enzyme APOBEC-3B	None	Tbio	0	120	APOBEC3B	Belongs to the cytidine and deoxycytidylate deaminase family.	9582	Q9UH17	1	ENSP00000327459	22q13.1	DNA dC->dU-editing enzyme APOBEC-3B	None
121	DNA dC->dU-editing enzyme APOBEC-3C	None	Tbio	0	121	APOBEC3C	Belongs to the cytidine and deoxycytidylate deaminase family.	27350	Q9NRW3	2	ENSP00000355340	22q13.1	DNA dC->dU-editing enzyme APOBEC-3C	None
122	DNA dC->dU-editing enzyme APOBEC-3G	None	Tbio	0	122	APOBEC3G	Belongs to the cytidine and deoxycytidylate deaminase family.	60489	Q9HC16	1	ENSP00000385057	22q13.1	DNA dC->dU-editing enzyme APOBEC-3G	None
123	ATP-binding cassette sub-family A member 2	Transporter	Tbio	0	123	ABCA2	Belongs to the ABC transporter superfamily. ABCA family.	20	Q9BZC7	3	ENSP00000344155	9q34.3	ATP-binding cassette sub-family A member 2	None
